{outlook: rainy, temp: cool, humidity: normal, windy: TRUE} - no
{outlook: rainy, temp: mild, humidity: high, windy: TRUE} - no
{outlook: sunny, temp: hot, humidity: high, windy: FALSE} - no
{outlook: sunny, temp: hot, humidity: high, windy: TRUE} - no
{outlook: sunny, temp: mild, humidity: high, windy: FALSE} - no
{outlook: overcast, temp: hot, humidity: high, windy: FALSE} - yes
{outlook: overcast, temp: cool, humidity: normal, windy: TRUE} - yes
{outlook: overcast, temp: mild, humidity: high, windy: TRUE} - yes
{outlook: overcast, temp: hot, humidity: normal, windy: FALSE} - yes
{outlook: rainy, temp: mild, humidity: high, windy: FALSE} - yes
{outlook: rainy, temp: cool, humidity: normal, windy: FALSE} - yes
{outlook: rainy, temp: mild, humidity: normal, windy: FALSE} - yes
{outlook: sunny, temp: cool, humidity: normal, windy: FALSE} - yes
{outlook: sunny, temp: mild, humidity: normal, windy: TRUE} - yes
